Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales, COGS ,Profit,Date,Month Number, Month Name ,Year
Government,France, Amarilla , None ,1899, $260.00 , $20.00 ," $37,980.00 ", $-   ,37980.00," $18,990.00 ",18990.00,6/1/2014,6, June ,2014
Government,Germany, Amarilla , None ,1686, $260.00 , $7.00 ," $11,802.00 ", $-   ,11802.00," $8,430.00 ",3372.00,7/1/2014,7, July ,2014
Channel Partners,United States of America, Amarilla , None ,2141, $260.00 , $12.00 ," $25,692.00 ", $-   ,25692.00," $6,423.00 ",19269.00,8/1/2014,8, August ,2014
Government,United States of America, Amarilla , None ,1143, $260.00 , $7.00 ," $8,001.00 ", $-   ,8001.00," $5,715.00 ",2286.00,10/1/2014,10, October ,2014
Midmarket,United States of America, Amarilla , None ,615, $260.00 , $15.00 ," $9,225.00 ", $-   ,9225.00," $6,150.00 ",3075.00,12/1/2014,12, December ,2014
Government,France, Paseo , Low ,3945, $10.00 , $7.00 ," $27,615.00 ", $276.15 ,27338.85," $19,725.00 ",7613.85,1/1/2014,1, January ,2014
Midmarket,France, Paseo , Low ,2296, $10.00 , $15.00 ," $34,440.00 ", $344.40 ,34095.60," $22,960.00 ",11135.60,2/1/2014,2, February ,2014
Government,France, Paseo , Low ,1030, $10.00 , $7.00 ," $7,210.00 ", $72.10 ,7137.90," $5,150.00 ",1987.90,5/1/2014,5, May ,2014
Government,France, Velo , Low ,639, $120.00 , $7.00 ," $4,473.00 ", $44.73 ,4428.27," $3,195.00 ",1233.27,11/1/2014,11, November ,2014
Government,Canada, VTT , Low ,1326, $250.00 , $7.00 ," $9,282.00 ", $92.82 ,9189.18," $6,630.00 ",2559.18,3/1/2014,3, March ,2014
Channel Partners,United States of America, Carretera , Low ,1858, $3.00 , $12.00 ," $22,296.00 ", $222.96 ,22073.04," $5,574.00 ",16499.04,2/1/2014,2, February ,2014
Government,Mexico, Carretera , Low ,1210, $3.00 , $350.00 ," $423,500.00 "," $4,235.00 ",419265.00," $314,600.00 ",104665.00,3/1/2014,3, March ,2014
Government,United States of America, Carretera , Low ,2529, $3.00 , $7.00 ," $17,703.00 ", $177.03 ,17525.97," $12,645.00 ",4880.97,7/1/2014,7, July ,2014
Channel Partners,Canada, Carretera , Low ,1445, $3.00 , $12.00 ," $17,340.00 ", $173.40 ,17166.60," $4,335.00 ",12831.60,9/1/2014,9, September ,2014
Enterprise,United States of America, Carretera , Low ,330, $3.00 , $125.00 ," $41,250.00 ", $412.50 ,40837.50," $39,600.00 ",1237.50,9/1/2013,9, September ,2013
Channel Partners,France, Carretera , Low ,2671, $3.00 , $12.00 ," $32,052.00 ", $320.52 ,31731.48," $8,013.00 ",23718.48,9/1/2014,9, September ,2014
Channel Partners,Germany, Carretera , Low ,766, $3.00 , $12.00 ," $9,192.00 ", $91.92 ,9100.08," $2,298.00 ",6802.08,10/1/2013,10, October ,2013
Small Business,Mexico, Carretera , Low ,494, $3.00 , $300.00 ," $148,200.00 "," $1,482.00 ",146718.00," $123,500.00 ",23218.00,10/1/2013,10, October ,2013
Government,Mexico, Carretera , Low ,1397, $3.00 , $350.00 ," $488,950.00 "," $4,889.50 ",484060.50," $363,220.00 ",120840.50,10/1/2014,10, October ,2014
Government,France, Carretera , Low ,2155, $3.00 , $350.00 ," $754,250.00 "," $7,542.50 ",746707.50," $560,300.00 ",186407.50,12/1/2014,12, December ,2014
Midmarket,Mexico, Montana , Low ,2214, $5.00 , $15.00 ," $33,210.00 ", $332.10 ,32877.90," $22,140.00 ",10737.90,3/1/2014,3, March ,2014
Small Business,United States of America, Montana , Low ,2301, $5.00 , $300.00 ," $690,300.00 "," $6,903.00 ",683397.00," $575,250.00 ",108147.00,4/1/2014,4, April ,2014
Government,France, Montana , Low ,1375.5, $5.00 , $20.00 ," $27,510.00 ", $275.10 ,27234.90," $13,755.00 ",13479.90,7/1/2014,7, July ,2014
Government,Canada, Montana , Low ,1830, $5.00 , $7.00 ," $12,810.00 ", $128.10 ,12681.90," $9,150.00 ",3531.90,8/1/2014,8, August ,2014
Small Business,United States of America, Montana , Low ,2498, $5.00 , $300.00 ," $749,400.00 "," $7,494.00 ",741906.00," $624,500.00 ",117406.00,9/1/2013,9, September ,2013
Enterprise,United States of America, Montana , Low ,663, $5.00 , $125.00 ," $82,875.00 ", $828.75 ,82046.25," $79,560.00 ",2486.25,10/1/2013,10, October ,2013
Midmarket,United States of America, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 ", $227.10 ,22482.90," $15,140.00 ",7342.90,2/1/2014,2, February ,2014
Government,United States of America, Paseo , Low ,4492.5, $10.00 , $7.00 ," $31,447.50 ", $314.48 ,31133.03," $22,462.50 ",8670.53,4/1/2014,4, April ,2014
Enterprise,United States of America, Paseo , Low ,727, $10.00 , $125.00 ," $90,875.00 ", $908.75 ,89966.25," $87,240.00 ",2726.25,6/1/2014,6, June ,2014
Enterprise,France, Paseo , Low ,787, $10.00 , $125.00 ," $98,375.00 ", $983.75 ,97391.25," $94,440.00 ",2951.25,6/1/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,1823, $10.00 , $125.00 ," $227,875.00 "," $2,278.75 ",225596.25," $218,760.00 ",6836.25,7/1/2014,7, July ,2014
Midmarket,Germany, Paseo , Low ,747, $10.00 , $15.00 ," $11,205.00 ", $112.05 ,11092.95," $7,470.00 ",3622.95,9/1/2014,9, September ,2014
Channel Partners,Germany, Paseo , Low ,766, $10.00 , $12.00 ," $9,192.00 ", $91.92 ,9100.08," $2,298.00 ",6802.08,10/1/2013,10, October ,2013
Small Business,United States of America, Paseo , Low ,2905, $10.00 , $300.00 ," $871,500.00 "," $8,715.00 ",862785.00," $726,250.00 ",136535.00,11/1/2014,11, November ,2014
Government,France, Paseo , Low ,2155, $10.00 , $350.00 ," $754,250.00 "," $7,542.50 ",746707.50," $560,300.00 ",186407.50,12/1/2014,12, December ,2014
Government,France, Velo , Low ,3864, $120.00 , $20.00 ," $77,280.00 ", $772.80 ,76507.20," $38,640.00 ",37867.20,4/1/2014,4, April ,2014
Government,Mexico, Velo , Low ,362, $120.00 , $7.00 ," $2,534.00 ", $25.34 ,2508.66," $1,810.00 ",698.66,5/1/2014,5, May ,2014
Enterprise,Canada, Velo , Low ,923, $120.00 , $125.00 ," $115,375.00 "," $1,153.75 ",114221.25," $110,760.00 ",3461.25,8/1/2014,8, August ,2014
Enterprise,United States of America, Velo , Low ,663, $120.00 , $125.00 ," $82,875.00 ", $828.75 ,82046.25," $79,560.00 ",2486.25,10/1/2013,10, October ,2013
Government,Canada, Velo , Low ,2092, $120.00 , $7.00 ," $14,644.00 ", $146.44 ,14497.56," $10,460.00 ",4037.56,11/1/2013,11, November ,2013
Government,Germany, VTT , Low ,263, $250.00 , $7.00 ," $1,841.00 ", $18.41 ,1822.59," $1,315.00 ",507.59,3/1/2014,3, March ,2014
Government,Canada, VTT , Low ,943.5, $250.00 , $350.00 ," $330,225.00 "," $3,302.25 ",326922.75," $245,310.00 ",81612.75,4/1/2014,4, April ,2014
Enterprise,United States of America, VTT , Low ,727, $250.00 , $125.00 ," $90,875.00 ", $908.75 ,89966.25," $87,240.00 ",2726.25,6/1/2014,6, June ,2014
Enterprise,France, VTT , Low ,787, $250.00 , $125.00 ," $98,375.00 ", $983.75 ,97391.25," $94,440.00 ",2951.25,6/1/2014,6, June ,2014
Small Business,Germany, VTT , Low ,986, $250.00 , $300.00 ," $295,800.00 "," $2,958.00 ",292842.00," $246,500.00 ",46342.00,9/1/2014,9, September ,2014
Small Business,Mexico, VTT , Low ,494, $250.00 , $300.00 ," $148,200.00 "," $1,482.00 ",146718.00," $123,500.00 ",23218.00,10/1/2013,10, October ,2013
Government,Mexico, VTT , Low ,1397, $250.00 , $350.00 ," $488,950.00 "," $4,889.50 ",484060.50," $363,220.00 ",120840.50,10/1/2014,10, October ,2014
Enterprise,France, VTT , Low ,1744, $250.00 , $125.00 ," $218,000.00 "," $2,180.00 ",215820.00," $209,280.00 ",6540.00,11/1/2014,11, November ,2014
Channel Partners,United States of America, Amarilla , Low ,1989, $260.00 , $12.00 ," $23,868.00 ", $238.68 ,23629.32," $5,967.00 ",17662.32,9/1/2013,9, September ,2013
Midmarket,France, Amarilla , Low ,321, $260.00 , $15.00 ," $4,815.00 ", $48.15 ,4766.85," $3,210.00 ",1556.85,11/1/2013,11, November ,2013
Enterprise,Canada, Carretera , Low ,742.5, $3.00 , $125.00 ," $92,812.50 "," $1,856.25 ",90956.25," $89,100.00 ",1856.25,4/1/2014,4, April ,2014
Channel Partners,Canada, Carretera , Low ,1295, $3.00 , $12.00 ," $15,540.00 ", $310.80 ,15229.20," $3,885.00 ",11344.20,10/1/2014,10, October ,2014
Small Business,Germany, Carretera , Low ,214, $3.00 , $300.00 ," $64,200.00 "," $1,284.00 ",62916.00," $53,500.00 ",9416.00,10/1/2013,10, October ,2013
Government,France, Carretera , Low ,2145, $3.00 , $7.00 ," $15,015.00 ", $300.30 ,14714.70," $10,725.00 ",3989.70,11/1/2013,11, November ,2013
Government,Canada, Carretera , Low ,2852, $3.00 , $350.00 ," $998,200.00 "," $19,964.00 ",978236.00," $741,520.00 ",236716.00,12/1/2014,12, December ,2014
Channel Partners,United States of America, Montana , Low ,1142, $5.00 , $12.00 ," $13,704.00 ", $274.08 ,13429.92," $3,426.00 ",10003.92,6/1/2014,6, June ,2014
Government,United States of America, Montana , Low ,1566, $5.00 , $20.00 ," $31,320.00 ", $626.40 ,30693.60," $15,660.00 ",15033.60,10/1/2014,10, October ,2014
Channel Partners,Mexico, Montana , Low ,690, $5.00 , $12.00 ," $8,280.00 ", $165.60 ,8114.40," $2,070.00 ",6044.40,11/1/2014,11, November ,2014
Enterprise,Mexico, Montana , Low ,1660, $5.00 , $125.00 ," $207,500.00 "," $4,150.00 ",203350.00," $199,200.00 ",4150.00,11/1/2013,11, November ,2013
Midmarket,Canada, Paseo , Low ,2363, $10.00 , $15.00 ," $35,445.00 ", $708.90 ,34736.10," $23,630.00 ",11106.10,2/1/2014,2, February ,2014
Small Business,France, Paseo , Low ,918, $10.00 , $300.00 ," $275,400.00 "," $5,508.00 ",269892.00," $229,500.00 ",40392.00,5/1/2014,5, May ,2014
Small Business,Germany, Paseo , Low ,1728, $10.00 , $300.00 ," $518,400.00 "," $10,368.00 ",508032.00," $432,000.00 ",76032.00,5/1/2014,5, May ,2014
Channel Partners,United States of America, Paseo , Low ,1142, $10.00 , $12.00 ," $13,704.00 ", $274.08 ,13429.92," $3,426.00 ",10003.92,6/1/2014,6, June ,2014
Enterprise,Mexico, Paseo , Low ,662, $10.00 , $125.00 ," $82,750.00 "," $1,655.00 ",81095.00," $79,440.00 ",1655.00,6/1/2014,6, June ,2014
Channel Partners,Canada, Paseo , Low ,1295, $10.00 , $12.00 ," $15,540.00 ", $310.80 ,15229.20," $3,885.00 ",11344.20,10/1/2014,10, October ,2014
Enterprise,Germany, Paseo , Low ,809, $10.00 , $125.00 ," $101,125.00 "," $2,022.50 ",99102.50," $97,080.00 ",2022.50,10/1/2013,10, October ,2013
Enterprise,Mexico, Paseo , Low ,2145, $10.00 , $125.00 ," $268,125.00 "," $5,362.50 ",262762.50," $257,400.00 ",5362.50,10/1/2013,10, October ,2013
Channel Partners,France, Paseo , Low ,1785, $10.00 , $12.00 ," $21,420.00 ", $428.40 ,20991.60," $5,355.00 ",15636.60,11/1/2013,11, November ,2013
Small Business,Canada, Paseo , Low ,1916, $10.00 , $300.00 ," $574,800.00 "," $11,496.00 ",563304.00," $479,000.00 ",84304.00,12/1/2014,12, December ,2014
Government,Canada, Paseo , Low ,2852, $10.00 , $350.00 ," $998,200.00 "," $19,964.00 ",978236.00," $741,520.00 ",236716.00,12/1/2014,12, December ,2014
Enterprise,Canada, Paseo , Low ,2729, $10.00 , $125.00 ," $341,125.00 "," $6,822.50 ",334302.50," $327,480.00 ",6822.50,12/1/2014,12, December ,2014
Midmarket,United States of America, Paseo , Low ,1925, $10.00 , $15.00 ," $28,875.00 ", $577.50 ,28297.50," $19,250.00 ",9047.50,12/1/2013,12, December ,2013
Government,United States of America, Paseo , Low ,2013, $10.00 , $7.00 ," $14,091.00 ", $281.82 ,13809.18," $10,065.00 ",3744.18,12/1/2013,12, December ,2013
Channel Partners,France, Paseo , Low ,1055, $10.00 , $12.00 ," $12,660.00 ", $253.20 ,12406.80," $3,165.00 ",9241.80,12/1/2014,12, December ,2014
Channel Partners,Mexico, Paseo , Low ,1084, $10.00 , $12.00 ," $13,008.00 ", $260.16 ,12747.84," $3,252.00 ",9495.84,12/1/2014,12, December ,2014
Government,United States of America, Velo , Low ,1566, $120.00 , $20.00 ," $31,320.00 ", $626.40 ,30693.60," $15,660.00 ",15033.60,10/1/2014,10, October ,2014
Government,Germany, Velo , Low ,2966, $120.00 , $350.00 ," $1,038,100.00 "," $20,762.00 ",1017338.00," $771,160.00 ",246178.00,10/1/2013,10, October ,2013
Government,Germany, Velo , Low ,2877, $120.00 , $350.00 ," $1,006,950.00 "," $20,139.00 ",986811.00," $748,020.00 ",238791.00,10/1/2014,10, October ,2014
Enterprise,Germany, Velo , Low ,809, $120.00 , $125.00 ," $101,125.00 "," $2,022.50 ",99102.50," $97,080.00 ",2022.50,10/1/2013,10, October ,2013
Enterprise,Mexico, Velo , Low ,2145, $120.00 , $125.00 ," $268,125.00 "," $5,362.50 ",262762.50," $257,400.00 ",5362.50,10/1/2013,10, October ,2013
Channel Partners,France, Velo , Low ,1055, $120.00 , $12.00 ," $12,660.00 ", $253.20 ,12406.80," $3,165.00 ",9241.80,12/1/2014,12, December ,2014
Government,Mexico, Velo , Low ,544, $120.00 , $20.00 ," $10,880.00 ", $217.60 ,10662.40," $5,440.00 ",5222.40,12/1/2013,12, December ,2013
Channel Partners,Mexico, Velo , Low ,1084, $120.00 , $12.00 ," $13,008.00 ", $260.16 ,12747.84," $3,252.00 ",9495.84,12/1/2014,12, December ,2014
Enterprise,Mexico, VTT , Low ,662, $250.00 , $125.00 ," $82,750.00 "," $1,655.00 ",81095.00," $79,440.00 ",1655.00,6/1/2014,6, June ,2014
Small Business,Germany, VTT , Low ,214, $250.00 , $300.00 ," $64,200.00 "," $1,284.00 ",62916.00," $53,500.00 ",9416.00,10/1/2013,10, October ,2013
Government,Germany, VTT , Low ,2877, $250.00 , $350.00 ," $1,006,950.00 "," $20,139.00 ",986811.00," $748,020.00 ",238791.00,10/1/2014,10, October ,2014
Enterprise,Canada, VTT , Low ,2729, $250.00 , $125.00 ," $341,125.00 "," $6,822.50 ",334302.50," $327,480.00 ",6822.50,12/1/2014,12, December ,2014
Government,United States of America, VTT , Low ,266, $250.00 , $350.00 ," $93,100.00 "," $1,862.00 ",91238.00," $69,160.00 ",22078.00,12/1/2013,12, December ,2013
Government,Mexico, VTT , Low ,1940, $250.00 , $350.00 ," $679,000.00 "," $13,580.00 ",665420.00," $504,400.00 ",161020.00,12/1/2013,12, December ,2013
Small Business,Germany, Amarilla , Low ,259, $260.00 , $300.00 ," $77,700.00 "," $1,554.00 ",76146.00," $64,750.00 ",11396.00,3/1/2014,3, March ,2014
Small Business,Mexico, Amarilla , Low ,1101, $260.00 , $300.00 ," $330,300.00 "," $6,606.00 ",323694.00," $275,250.00 ",48444.00,3/1/2014,3, March ,2014
Enterprise,Germany, Amarilla , Low ,2276, $260.00 , $125.00 ," $284,500.00 "," $5,690.00 ",278810.00," $273,120.00 ",5690.00,5/1/2014,5, May ,2014
Government,Germany, Amarilla , Low ,2966, $260.00 , $350.00 ," $1,038,100.00 "," $20,762.00 ",1017338.00," $771,160.00 ",246178.00,10/1/2013,10, October ,2013
Government,United States of America, Amarilla , Low ,1236, $260.00 , $20.00 ," $24,720.00 ", $494.40 ,24225.60," $12,360.00 ",11865.60,11/1/2014,11, November ,2014
Government,France, Amarilla , Low ,941, $260.00 , $20.00 ," $18,820.00 ", $376.40 ,18443.60," $9,410.00 ",9033.60,11/1/2014,11, November ,2014
Small Business,Canada, Amarilla , Low ,1916, $260.00 , $300.00 ," $574,800.00 "," $11,496.00 ",563304.00," $479,000.00 ",84304.00,12/1/2014,12, December ,2014
Enterprise,France, Carretera , Low ,4243.5, $3.00 , $125.00 ," $530,437.50 "," $15,913.13 ",514524.38," $509,220.00 ",5304.38,4/1/2014,4, April ,2014
Government,Germany, Carretera , Low ,2580, $3.00 , $20.00 ," $51,600.00 "," $1,548.00 ",50052.00," $25,800.00 ",24252.00,4/1/2014,4, April ,2014
Small Business,Germany, Carretera , Low ,689, $3.00 , $300.00 ," $206,700.00 "," $6,201.00 ",200499.00," $172,250.00 ",28249.00,6/1/2014,6, June ,2014
Channel Partners,United States of America, Carretera , Low ,1947, $3.00 , $12.00 ," $23,364.00 ", $700.92 ,22663.08," $5,841.00 ",16822.08,9/1/2014,9, September ,2014
Channel Partners,Canada, Carretera , Low ,908, $3.00 , $12.00 ," $10,896.00 ", $326.88 ,10569.12," $2,724.00 ",7845.12,12/1/2013,12, December ,2013
Government,Germany, Montana , Low ,1958, $5.00 , $7.00 ," $13,706.00 ", $411.18 ,13294.82," $9,790.00 ",3504.82,2/1/2014,2, February ,2014
Channel Partners,France, Montana , Low ,1901, $5.00 , $12.00 ," $22,812.00 ", $684.36 ,22127.64," $5,703.00 ",16424.64,6/1/2014,6, June ,2014
Government,France, Montana , Low ,544, $5.00 , $7.00 ," $3,808.00 ", $114.24 ,3693.76," $2,720.00 ",973.76,9/1/2014,9, September ,2014
Government,Germany, Montana , Low ,1797, $5.00 , $350.00 ," $628,950.00 "," $18,868.50 ",610081.50," $467,220.00 ",142861.50,9/1/2013,9, September ,2013
Enterprise,France, Montana , Low ,1287, $5.00 , $125.00 ," $160,875.00 "," $4,826.25 ",156048.75," $154,440.00 ",1608.75,12/1/2014,12, December ,2014
Enterprise,Germany, Montana , Low ,1706, $5.00 , $125.00 ," $213,250.00 "," $6,397.50 ",206852.50," $204,720.00 ",2132.50,12/1/2014,12, December ,2014
Small Business,France, Paseo , Low ,2434.5, $10.00 , $300.00 ," $730,350.00 "," $21,910.50 ",708439.50," $608,625.00 ",99814.50,1/1/2014,1, January ,2014
Enterprise,Canada, Paseo , Low ,1774, $10.00 , $125.00 ," $221,750.00 "," $6,652.50 ",215097.50," $212,880.00 ",2217.50,3/1/2014,3, March ,2014
Channel Partners,France, Paseo , Low ,1901, $10.00 , $12.00 ," $22,812.00 ", $684.36 ,22127.64," $5,703.00 ",16424.64,6/1/2014,6, June ,2014
Small Business,Germany, Paseo , Low ,689, $10.00 , $300.00 ," $206,700.00 "," $6,201.00 ",200499.00," $172,250.00 ",28249.00,6/1/2014,6, June ,2014
Enterprise,Germany, Paseo , Low ,1570, $10.00 , $125.00 ," $196,250.00 "," $5,887.50 ",190362.50," $188,400.00 ",1962.50,6/1/2014,6, June ,2014
Channel Partners,United States of America, Paseo , Low ,1369.5, $10.00 , $12.00 ," $16,434.00 ", $493.02 ,15940.98," $4,108.50 ",11832.48,7/1/2014,7, July ,2014
Enterprise,Canada, Paseo , Low ,2009, $10.00 , $125.00 ," $251,125.00 "," $7,533.75 ",243591.25," $241,080.00 ",2511.25,10/1/2014,10, October ,2014
Midmarket,Germany, Paseo , Low ,1945, $10.00 , $15.00 ," $29,175.00 ", $875.25 ,28299.75," $19,450.00 ",8849.75,10/1/2013,10, October ,2013
Enterprise,France, Paseo , Low ,1287, $10.00 , $125.00 ," $160,875.00 "," $4,826.25 ",156048.75," $154,440.00 ",1608.75,12/1/2014,12, December ,2014
Enterprise,Germany, Paseo , Low ,1706, $10.00 , $125.00 ," $213,250.00 "," $6,397.50 ",206852.50," $204,720.00 ",2132.50,12/1/2014,12, December ,2014
Enterprise,Canada, Velo , Low ,2009, $120.00 , $125.00 ," $251,125.00 "," $7,533.75 ",243591.25," $241,080.00 ",2511.25,10/1/2014,10, October ,2014
